classe,nJEs,delph,std,nLIs
atm,24,0,0,13
atm,24,1,0,13
atm,24,2,0,13
atm,24,0,1,13
atm,24,1,1,13
atm,24,2,1,13
Transaction ,13,0,0,5
Transaction ,13,1,0,5
Transaction ,13,2,0,4
Transaction ,13,0,1,4
Transaction ,13,1,1,4
Transaction ,13,2,1,4
Money ,10,0,0,6
Money ,10,1,0,6
Money ,10,2,0,5
Money ,10,0,1,5
Money ,10,1,1,6
Money ,10,2,1,6
Withdrawal ,4,0,0,3
Withdrawal ,4,1,0,3
Withdrawal ,4,2,0,3
Withdrawal ,4,0,11,3
Withdrawal ,4,1,1,3
Withdrawal ,4,2,1,3
Transfer ,6,0,0,3
Transfer ,6,1,0,3
Transfer ,6,2,0,3
Transfer ,6,0,1,3
Transfer ,6,1,1,3
Transfer ,6,2,1,3
Inquiry ,3,0,0,2
Inquiry ,3,1,0,2
Inquiry ,3,2,0,1
Inquiry ,3,0,1,1
Inquiry ,3,1,1,1
Inquiry ,3,2,1,1
Deposit ,4,0,0,3
Deposit,4,1,0,3
Deposit,4,2,0,3
Deposit,4,0,1,3
Deposit,4,1,1,3
Deposit,4,2,1,3
Session,13,0,0,8
Session,13,1,0,8
Session,13,2,0,8
Session,13,0,1,8
Session,13,1,1,8
Session,13,2,1,8
OperatorPanel,4,0,0,3
OperatorPanel,4,1,0,2
OperatorPanel,4,2,0,2
OperatorPanel,4,0,1,2
OperatorPanel,4,1,1,2
OperatorPanel,4,2,1,2
ReceiptPrinter,1,0,0,1
ReceiptPrinter,1,1,0,1
ReceiptPrinter,1,2,0,1
ReceiptPrinter,1,0,1,1
ReceiptPrinter,1,1,1,1
ReceiptPrinter,1,2,1,1
CardReader,3,0,0,3
CardReader,3,1,0,3
CardReader,3,2,0,2
CardReader,3,0,1,2
CardReader,3,1,1,2
CardReader,3,2,1,2
EnvelopeAcceptor,3,0,0,2
EnvelopeAcceptor,3,1,0,2
EnvelopeAcceptor,3,2,0,2
EnvelopeAcceptor,3,0,1,2
EnvelopeAcceptor,3,1,1,2
EnvelopeAcceptor,3,2,1,2
CashDispenser,6,0,0,4
CashDispenser,6,1,0,4
CashDispenser,6,2,0,3
CashDispenser,6,0,1,3
CashDispenser,6,1,1,3
CashDispenser,6,2,1,3
